"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"130x130","130",130,"homozygote","del",88,FALSE,"diploid",TRUE
"65x93","65",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"5x5","5",5,"homozygote","wt",100,FALSE,"diploid",TRUE
"51x51","51",51,"homozygote","wt",100,FALSE,"diploid",TRUE
"44","44",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"129","129",NA,"haploid","wt",74,FALSE,"haploid",FALSE
"48x48","48",48,"homozygote","del",0,TRUE,"diploid",TRUE
"33x20","33",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"3x135","3",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"126x93","126",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"107","107",NA,"haploid","del",100,FALSE,"haploid",FALSE
"18x18","18",18,"homozygote","wt",100,FALSE,"diploid",TRUE
"40x135","40",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"73x135","73",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"86x86","86",86,"homozygote","del",100,FALSE,"diploid",TRUE
"83","83",NA,"haploid","del",100,FALSE,"haploid",TRUE
"10x96","10",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"129x129","129",129,"homozygote","wt",74,FALSE,"diploid",TRUE
"50x50","50",50,"homozygote","del",100,FALSE,"diploid",TRUE
"80x80","80",80,"homozygote","del",100,FALSE,"diploid",TRUE
"43x43","43",43,"homozygote","wt",0,TRUE,"diploid",TRUE
"10x10","10",10,"homozygote","del",100,FALSE,"diploid",FALSE
"111","111",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"122x67","122",67,"heterozygote","wt",87,FALSE,"diploid",TRUE
"9","9",NA,"haploid","del",100,FALSE,"haploid",FALSE
"123x123","123",123,"homozygote","wt",87,FALSE,"diploid",TRUE
"23","23",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"54","54",NA,"haploid","del",100,FALSE,"haploid",FALSE
"69","69",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"77x96","77",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"92x20","92",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"31x31","31",31,"homozygote","del",100,FALSE,"diploid",FALSE
"117x46","117",46,"heterozygote","del",0,TRUE,"diploid",FALSE
"133","133",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"78x93","78",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"108x108","108",108,"homozygote","wt",87,FALSE,"diploid",TRUE
"4x4","4",4,"homozygote","del",100,FALSE,"diploid",FALSE
"116","116",NA,"haploid","del",0,TRUE,"haploid",FALSE
"97x93","97",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"69x69","69",69,"homozygote","wt",0,TRUE,"diploid",TRUE
"17x135","17",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"70","70",NA,"haploid","del",0,TRUE,"haploid",FALSE
"94x94","94",94,"homozygote","del",0,TRUE,"diploid",TRUE
"110","110",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"42x93","42",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"81","81",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"28x67","28",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"119x93","119",93,"heterozygote","wt",0,TRUE,"diploid",TRUE
"20","20",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"100","100",NA,"haploid","del",100,FALSE,"haploid",TRUE
"88","88",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"106","106",NA,"haploid","del",100,FALSE,"haploid",TRUE
"32x32","32",32,"homozygote","del",100,FALSE,"diploid",TRUE
"58x58","58",58,"homozygote","wt",100,FALSE,"diploid",TRUE
"65x65","65",65,"homozygote","wt",100,FALSE,"diploid",TRUE
"108x20","108",20,"heterozygote","wt",87,FALSE,"diploid",TRUE
"106x96","106",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"11x67","11",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"11","11",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"59x20","59",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"133x133","133",133,"homozygote","wt",0,TRUE,"diploid",TRUE
"71","71",NA,"haploid","del",0,TRUE,"haploid",FALSE
"136x136","136",136,"homozygote","wt",0,TRUE,"diploid",TRUE
"98x98","98",98,"homozygote","wt",100,FALSE,"diploid",TRUE
"67x67","67",67,"homozygote","wt",0,TRUE,"diploid",TRUE
"124","124",NA,"haploid","wt",87,FALSE,"haploid",FALSE
"64","64",NA,"haploid","del",100,FALSE,"haploid",FALSE
"37x135","37",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"38","38",NA,"haploid","del",100,FALSE,"haploid",TRUE
"76x76","76",76,"homozygote","del",100,FALSE,"diploid",FALSE
"92","92",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"75x20","75",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"66x93","66",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"46x46","46",46,"homozygote","del",0,TRUE,"diploid",FALSE
"20x20","20",20,"homozygote","wt",0,TRUE,"diploid",TRUE
"135x135","135",135,"homozygote","del",0,TRUE,"diploid",TRUE
"87","87",NA,"haploid","del",100,FALSE,"haploid",FALSE
"119x119","119",119,"homozygote","wt",0,TRUE,"diploid",FALSE
"41x41","41",41,"homozygote","del",100,FALSE,"diploid",FALSE
"19x19","19",19,"homozygote","wt",0,TRUE,"diploid",TRUE
"105","105",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"130","130",NA,"haploid","del",88,FALSE,"haploid",FALSE
"2x2","2",2,"homozygote","wt",100,FALSE,"diploid",TRUE
"22x96","22",96,"heterozygote","del",0,TRUE,"diploid",FALSE
"2x93","2",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"111x93","111",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"82x93","82",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"128x135","128",135,"heterozygote","del",53,FALSE,"diploid",TRUE
"116x135","116",135,"heterozygote","del",0,TRUE,"diploid",FALSE
"7x135","7",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"77","77",NA,"haploid","del",100,FALSE,"haploid",FALSE
"18x67","18",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"118x118","118",118,"homozygote","wt",0,TRUE,"diploid",FALSE
"70x70","70",70,"homozygote","del",0,TRUE,"diploid",TRUE
"105x67","105",67,"heterozygote","wt",100,FALSE,"diploid",FALSE
"131x135","131",135,"heterozygote","del",67,FALSE,"diploid",TRUE
"37","37",NA,"haploid","del",100,FALSE,"haploid",FALSE
"128","128",NA,"haploid","del",53,FALSE,"haploid",FALSE
"121x67","121",67,"heterozygote","wt",87,FALSE,"diploid",TRUE
"28","28",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"85x85","85",85,"homozygote","wt",100,FALSE,"diploid",TRUE
"127x93","127",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"102","102",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"66","66",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"66x66","66",66,"homozygote","wt",100,FALSE,"diploid",TRUE
"114x114","114",114,"homozygote","wt",87,FALSE,"diploid",TRUE
"7","7",NA,"haploid","del",100,FALSE,"haploid",FALSE
"67","67",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"43x20","43",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"4x46","4",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"103x103","103",103,"homozygote","del",100,FALSE,"diploid",TRUE
"12x20","12",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"49","49",NA,"haploid","del",100,FALSE,"haploid",TRUE
"11x11","11",11,"homozygote","wt",100,FALSE,"diploid",TRUE
"122","122",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"97","97",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"14","14",NA,"haploid","del",100,FALSE,"haploid",FALSE
"48","48",NA,"haploid","del",0,TRUE,"haploid",FALSE
"36x20","36",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"74","74",NA,"haploid","del",100,FALSE,"haploid",TRUE
"16","16",NA,"haploid","del",100,FALSE,"haploid",FALSE
"61","61",NA,"haploid","del",100,FALSE,"haploid",FALSE
"120x46","120",46,"heterozygote","del",0,TRUE,"diploid",FALSE
"54x54","54",54,"homozygote","del",100,FALSE,"diploid",FALSE
"27x20","27",20,"heterozygote","wt",100,FALSE,"diploid",FALSE
"6x6","6",6,"homozygote","del",100,FALSE,"diploid",TRUE
"51","51",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"86","86",NA,"haploid","del",100,FALSE,"haploid",FALSE
"60x135","60",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"125","125",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"5","5",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"124x124","124",124,"homozygote","wt",87,FALSE,"diploid",TRUE
"46x96","46",96,"heterozygote","del",0,TRUE,"diploid",FALSE
