"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"92","112x112","linnea","","day1.csv","112","112","homozygote","wt",87,0.249364654658635,0.262,0.689,13,FALSE,"diploid","1",2,9
1,2,"93","blank","linnea","","day1.csv","blank",NA,"haploid",NA,NA,0.251288396516114,0.254833333333333,0.683,11.5,NA,"haploid","1",3,9
1,2,"94","79x96","linnea","","day1.csv","79","96","heterozygote","del",100,0.244511727473529,0.255166666666667,0.769,13,FALSE,"diploid","1",4,9
1,2,"95","53x96","linnea","","day1.csv","53","96","heterozygote","del",100,0.116721265519537,0.255833333333333,0.589,18.5,FALSE,"diploid","1",5,9
1,2,"96","blank","linnea","","day1.csv","blank",NA,"haploid",NA,NA,0.21040874690903,0.259333333333333,0.755,13.5,NA,"haploid","1",6,9
1,2,"97","35x46","linnea","","day1.csv","35","46","heterozygote","del",100,0.237582247020196,0.259333333333333,0.636,13.5,FALSE,"diploid","1",7,9
1,2,"98","102x67","linnea","","day1.csv","102","67","heterozygote","wt",100,0.225829546768308,0.255666666666667,0.594,13.5,FALSE,"diploid","1",8,9
1,2,"99","38x46","linnea","","day1.csv","38","46","heterozygote","del",100,0.229406536245147,0.255166666666667,0.689,14,FALSE,"diploid","1",9,9
1,2,"100","35x35","linnea","","day1.csv","35","35","homozygote","del",100,0.216644096839857,0.255166666666667,0.6,13.5,FALSE,"diploid","1",10,9
1,2,"1","83x46","linnea","","day1.csv","83","46","heterozygote","del",100,0.257886445620414,0.263833333333333,0.666,9.5,FALSE,"diploid","2",1,10
1,2,"2","112x93","linnea","","day1.csv","112","93","heterozygote","wt",87,0.220438485279417,0.257,0.708,13,FALSE,"diploid","2",2,10
1,2,"3","45x67","linnea","","day1.csv","45","67","heterozygote","wt",0,0.252144741275107,0.262666666666667,0.602,9.5,TRUE,"diploid","2",3,10
1,2,"4","blank","linnea","","day1.csv","blank",NA,"haploid",NA,NA,0.020566907277253,0.246,0.226,13.5,NA,"haploid","2",4,10
1,2,"5","17","linnea","","day1.csv","17",NA,"haploid","del",100,0.260074455360471,0.264833333333333,0.615,9.5,FALSE,"haploid","2",5,10
1,2,"6","16x46","linnea","","day1.csv","16","46","heterozygote","del",100,0.223095053891731,0.257333333333333,0.578,13.5,FALSE,"diploid","2",6,10
1,2,"7","109x109","linnea","","day1.csv","109","109","homozygote","wt",87,0.244476176883279,0.260166666666667,0.747,14.5,FALSE,"diploid","2",7,10
1,2,"8","29","linnea","","day1.csv","29",NA,"haploid","del",100,0.2463840711453,0.261,0.726,13,FALSE,"haploid","2",8,10
1,2,"9","89x89","linnea","","day1.csv","89","89","homozygote","del",100,0.259954023607012,0.253666666666667,0.623,11,FALSE,"diploid","2",9,10
1,2,"10","27x27","linnea","","day1.csv","27","27","homozygote","wt",100,0.218727679371367,0.258166666666667,0.624,13.5,FALSE,"diploid","2",10,10
1,2,"11","76","linnea","","day1.csv","76",NA,"haploid","del",100,0.217651460932,0.278333333333333,0.662,11,FALSE,"haploid","2",1,1
1,2,"12","95x95","linnea","","day1.csv","95","95","homozygote","del",0,0.249153163675575,0.2565,0.725,11,TRUE,"diploid","2",2,1
1,2,"13","93","linnea","","day1.csv","93",NA,"haploid","wt",0,0.251820144697712,0.2585,0.707,13,TRUE,"haploid","2",3,1
1,2,"14","23x20","linnea","","day1.csv","23","20","heterozygote","wt",0,0.225527970115769,0.257833333333333,0.631,14.5,TRUE,"diploid","2",4,1
1,2,"15","43","linnea","","day1.csv","43",NA,"haploid","wt",0,0.243121754001097,0.2595,0.745,13,TRUE,"haploid","2",5,1
1,2,"16","102x102","linnea","","day1.csv","102","102","homozygote","wt",100,0.212244122649308,0.258833333333333,0.709,13,FALSE,"diploid","2",6,1
1,2,"17","96","linnea","","day1.csv","96",NA,"haploid","del",0,0.251015483887507,0.264833333333333,0.778,13,TRUE,"haploid","2",7,1
1,2,"18","101x20","linnea","","day1.csv","101","20","heterozygote","wt",100,0.221050773832609,0.258666666666667,0.739,13,FALSE,"diploid","2",8,1
1,2,"19","87x87","linnea","","day1.csv","87","87","homozygote","del",100,0.25467093374143,0.254166666666667,0.62,10,FALSE,"diploid","2",9,1
