Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
3,G12,a-1.2,1,na,,,,,,,,,,,,,,,
3,H1,a-1.3,1,na,,,,,,,,,,,,,,,
3,H2,alpha-1.1,1,na,,,,,,,,,,,,,,,
3,H3,alpha-1.2,1,na,,,,,,,,,,,,,,,
3,H4,alpha-1.3,1,na,,,,,,,,,,,,,,,
3,H5,dip-1.1,1,na,,,,,,,,,,,,,,,
3,H6,dip-1.2,1,na,,,,,,,,,,,,,,,
3,H7,dip-1.3,1,na,,,,,,,,,,,,,,,
3,H8,a+2.1,1,na,,,,,,,,,,,,,,,
3,H9,a+2.2,1,na,,,,,,,,,,,,,,,
3,H10,a+2.3,1,na,,,,,,,,,,,,,,,
3,H11,alpha+2.1,1,na,,,,,,,,,,,,,,,
3,H12,alpha+2.2,1,na,,,,,,,,,,,,,,,
3,A1,alpha+2.3,2,na,,,,,,,,,,,,,,,
3,A2,dip+2.1,2,na,,,,,,,,,,,,,,,
3,A3,dip+2.2,2,na,,,,,,,,,,,,,,,
3,A4,dip+2.3,2,na,,,,,,,,,,,,,,,
3,A5,a-2.1,2,na,,,,,,,,,,,,,,,
3,A6,a-2.2,2,na,,,,,,,,,,,,,,,
3,A7,a-2.3,2,na,,,,,,,,,,,,,,,
3,A8,alpha-2.1,2,na,,,,,,,,,,,,,,,
3,A9,alpha-2.2,2,na,,,,,,,,,,,,,,,
3,A10,alpha-2.3,2,na,,,,,,,,,,,,,,,
3,A11,dip-2.1,2,na,,,,,,,,,,,,,,,
3,A12,dip-2.2,2,na,,,,,,,,,,,,,,,
3,B1,dip-2.3,2,na,,,,,,,,,,,,,,,
3,B2,a+3.1,2,na,,,,,,,,,,,,,,,
3,B3,a+3.2,2,na,,,,,,,,,,,,,,,
3,B4,a+3.3,2,na,,,,,,,,,,,,,,,
3,B5,alpha+3.1,2,na,,,,,,,,,,,,,,,
3,B6,alpha+3.2,2,na,,,,,,,,,,,,,,,
3,B7,alpha+3.3,2,na,,,,,,,,,,,,,,,
3,B8,dip+3.1,2,na,,,,,,,,,,,,,,,
3,B9,dip+3.2,2,na,,,,,,,,,,,,,,,
3,B10,dip+3.3,2,na,,,,,,,,,,,,,,,
3,B11,a-3.1,2,na,,,,,,,,,,,,,,,
3,B12,a-3.2,2,na,,,,,,,,,,,,,,,
3,C1,a-3.3,2,na,,,,,,,,,,,,,,,
3,C2,alpha-3.1,2,na,,,,,,,,,,,,,,,
3,C3,alpha-3.2,2,na,,,,,,,,,,,,,,,
3,C4,alpha-3.3,2,na,,,,,,,,,,,,,,,
3,C5,dip-3.1,2,na,,,,,,,,,,,,,,,
3,C6,dip-3.2,2,na,,,,,,,,,,,,,,,
3,C7,dip-3.3,2,na,,,,,,,,,,,,,,,
3,C8,1,2,na,,,,,,,,,,,,,,,
3,C9,2,2,na,,,,,,,,,,,,,,,
3,C10,3,2,na,,,,,,,,,,,,,,,
3,C11,4,2,na,,,,,,,,,,,,,,,
3,C12,5,2,na,,,,,,,,,,,,,,,
3,D1,6,2,na,,,,,,,,,,,,,,,
3,D2,7,2,na,,,,,,,,,,,,,,,
3,D3,8,2,na,,,,,,,,,,,,,,,
3,D4,9,2,na,,,,,,,,,,,,,,,
3,D5,10,2,na,,,,,,,,,,,,,,,
3,D6,11,2,na,,,,,,,,,,,,,,,
3,D7,12,2,na,,,,,,,,,,,,,,,
3,D8,14,2,na,,,,,,,,,,,,,,,
3,D9,15,2,na,,,,,,,,,,,,,,,
3,D10,16,2,na,,,,,,,,,,,,,,,
3,D11,17,2,na,,,,,,,,,,,,,,,
3,D12,18,2,na,,,,,,,,,,,,,,,
3,E1,19,2,na,,,,,,,,,,,,,,,
3,E2,20,2,na,,,,,,,,,,,,,,,
3,E3,22,2,na,,,,,,,,,,,,,,,
3,E4,23,2,na,,,,,,,,,,,,,,,
3,E5,24,2,na,,,,,,,,,,,,,,,
3,E6,25,2,na,,,,,,,,,,,,,,,
3,E7,26,2,na,,,,,,,,,,,,,,,
3,E8,27,2,na,,,,,,,,,,,,,,,
3,E9,28,2,na,,,,,,,,,,,,,,,
3,E10,29,2,na,,,,,,,,,,,,,,,
3,E11,30,2,na,,,,,,,,,,,,,,,
3,E12,31,2,na,,,,,,,,,,,,,,,
