"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"41x41","41",41,"homozygote","del",100,TRUE,"MA"
"100x100","100",100,"homozygote","del",100,TRUE,"MA"
"116x116","116",116,"homozygote","del",0,FALSE,"control"
"94x94","94",94,"homozygote","del",0,FALSE,"control"
"32x32","32",32,"homozygote","del",100,TRUE,"MA"
"80x80","80",80,"homozygote","del",100,TRUE,"MA"
"58x58","58",58,"homozygote","wt",100,TRUE,"MA"
"129x129","129",129,"homozygote","wt",74,TRUE,"MA"
"25","25",NA,"haploid","del",100,FALSE,"MA"
"38x95","38",95,"heterozygote","del",100,TRUE,"MA"
"64","64",NA,"haploid","del",100,FALSE,"MA"
"103","103",NA,"haploid","del",100,FALSE,"MA"
"32x134","32",134,"heterozygote","del",100,FALSE,"MA"
"50x50","50",50,"homozygote","del",100,TRUE,"MA"
"26x26","26",26,"homozygote","del",100,FALSE,"MA"
"110x67","110",67,"heterozygote","wt",87,TRUE,"MA"
"70x70","70",70,"homozygote","del",0,FALSE,"control"
"74","74",NA,"haploid","del",100,FALSE,"MA"
"69","69",NA,"haploid","wt",0,FALSE,"control"
"89x48","89",48,"heterozygote","del",100,FALSE,"MA"
"30","30",NA,"haploid","wt",100,FALSE,"MA"
"47x134","47",134,"heterozygote","del",0,TRUE,"control"
"135x135","135",135,"homozygote","del",0,FALSE,"control"
"135x134","135",134,"heterozygote","del",0,FALSE,"control"
"126x92","126",92,"heterozygote","wt",87,TRUE,"MA"
"35x48","35",48,"heterozygote","del",100,TRUE,"MA"
"17","17",NA,"haploid","del",100,FALSE,"MA"
"58x92","58",92,"heterozygote","wt",100,TRUE,"MA"
"33x33","33",33,"homozygote","wt",100,TRUE,"MA"
"10x95","10",95,"heterozygote","del",100,TRUE,"MA"
"40","40",NA,"haploid","del",100,FALSE,"MA"
"77x95","77",95,"heterozygote","del",100,TRUE,"MA"
"106x106","106",106,"homozygote","del",100,TRUE,"MA"
"47","47",NA,"haploid","del",0,FALSE,"control"
"127x136","127",136,"heterozygote","wt",87,TRUE,"MA"
"75x75","75",75,"homozygote","wt",100,TRUE,"MA"
"89","89",NA,"haploid","del",100,FALSE,"MA"
"76","76",NA,"haploid","del",100,FALSE,"MA"
"56x67","56",67,"heterozygote","wt",100,TRUE,"MA"
"75x67","75",67,"heterozygote","wt",100,TRUE,"MA"
