"Line.ID","dataset","machine","day","plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"111x92","Sep2019",1,1,2,0.210333333333333,1.14466666666667,0.215152580401723,0.551,10.5,20.5,"111",92,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"4x134","Sep2019",1,1,2,0.218166666666667,1.12983333333333,0.25804118981565,0.506,8,21,"4",134,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"6x95","Sep2019",1,1,2,0.206166666666667,1.1235,0.205823517690495,0.556,11.5,21,"6",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"49x49","Sep2019",1,1,2,0.202833333333333,1.07166666666667,0.249940050334185,0.574,10,21,"49",49,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"18x92","Sep2019",1,1,2,0.209166666666667,1.11616666666667,0.265368194124482,0.54,9,21,"18",92,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"95","Sep2019",1,1,2,0.180833333333333,1.08716666666667,0.268100962241835,0.49,10,18.25,"95",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"112x136","Sep2019",1,1,2,0.2135,1.55083333333333,0.237029053301585,0.538,10,21,"112",136,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"60","Sep2019",1,1,2,0.214,1.24566666666667,0.27568331505412,0.562,8.5,21,"60",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"114","Sep2019",1,1,2,0.215166666666667,1.2135,0.275951756656401,0.571,8.5,21,"114",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"31x31","Sep2019",1,1,2,0.206833333333333,1.12233333333333,0.217483955256004,0.556,11.5,21,"31",31,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"4x4","Sep2019",1,1,2,0.232333333333333,1.1275,0.244306172536568,0.555,9,21,"4",4,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"97","Sep2019",1,1,2,0.2275,1.359,0.265858718534462,0.6,8,21,"97",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"19x92","Sep2019",1,1,2,0.209833333333333,1.5035,0.218782351973923,0.529,10.5,21,"19",92,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"8x8","Sep2019",1,1,2,0.211166666666667,1.14033333333333,0.219428198100502,0.54,11,20.5,"8",8,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"96x95","Sep2019",1,1,2,0.207,1.48366666666667,0.225702797518323,0.521,11,21,"96",95,"heterozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"44","Sep2019",1,1,2,0.230833333333333,1.02316666666667,0.274841367664536,0.568,8,21,"44",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"78x92","Sep2019",1,1,2,0.200666666666667,1.44233333333333,0.226003629627547,0.547,11,21,"78",92,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"91","Sep2019",1,1,2,0.22,1.223,0.272077729174258,0.605,8.5,21,"91",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"16x134","Sep2019",1,1,2,0.209166666666667,1.12216666666667,0.209186585758969,0.577,11.5,21,"16",134,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"95x134","Sep2019",1,1,2,0.2065,1.07233333333333,0.225079118093552,0.538,10.5,21,"95",134,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"98x92","Sep2019",1,1,2,0.2085,1.2925,0.213229638723611,0.553,11.5,21,"98",92,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"116x48","Sep2019",1,1,2,0.207333333333333,1.11566666666667,0.214599250736303,0.601,12,21,"116",48,"heterozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"66x136","Sep2019",1,1,2,0.207166666666667,1.12533333333333,0.220701967412751,0.594,11,19.75,"66",136,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"95x95","Sep2019",1,1,2,0.210666666666667,1.16666666666667,0.208466118739592,0.549,10.5,21,"95",95,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"112","Sep2019",1,1,2,0.218833333333333,1.18,0.264555316181747,0.536,8.5,18,"112",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"86","Sep2019",1,1,2,0.2225,1.51133333333333,0.273304967446375,0.578,8,21,"86",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"125x67","Sep2019",1,1,2,0.213166666666667,1.14366666666667,0.224660250291997,0.551,10.5,21,"125",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"87x87","Sep2019",1,1,2,0.2105,1.098,0.208189245037849,0.615,11.5,21,"87",87,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"24x95","Sep2019",1,1,2,0.224666666666667,1.1185,0.25382111282779,0.565,9,21,"24",95,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"62x62","Sep2019",1,1,2,0.2075,1.12133333333333,0.221301066405388,0.526,10,21,"62",62,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"63x63","Sep2019",1,1,2,0.21,1.14233333333333,0.200057708288348,0.586,12,21,"63",63,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"36","Sep2019",1,1,2,0.237333333333333,1.25833333333333,0.271954239328132,0.663,9.5,21,"36",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"6x6","Sep2019",1,1,2,0.206,1.12366666666667,0.194805710845847,0.566,12,21,"6",6,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"76x134","Sep2019",1,1,2,0.206,1.10033333333333,0.262416717844438,0.589,9.5,21,"76",134,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"57x57","Sep2019",1,1,2,0.213666666666667,1.14133333333333,0.231704202119376,0.57,10.5,21,"57",57,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"118x118","Sep2019",1,1,2,0.207666666666667,1.14833333333333,0.227774340422204,0.524,11,21,"118",118,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"72","Sep2019",1,1,2,0.217666666666667,1.19533333333333,0.26864637741042,0.557,8.5,21,"72",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"85x92","Sep2019",1,1,2,0.213,1.131,0.224841076090776,0.551,10.5,21,"85",92,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"25x25","Sep2019",1,1,2,0.213833333333333,1.086,0.190078883893774,0.61,12,21,"25",25,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"59x59","Sep2019",1,1,2,0.215666666666667,1.07666666666667,0.226086341320597,0.563,10.5,21,"59",59,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"93x93","Sep2019",1,1,2,0.228,1.15766666666667,0.248006915054555,0.58,8.5,21,"93",93,"homozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"9x9","Sep2019",1,1,2,0.206166666666667,0.982833333333333,0.261179999133665,0.548,9.5,21,"9",9,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"37x134","Sep2019",1,1,2,0.22,1.14166666666667,0.249401068869171,0.591,9.5,21,"37",134,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"5","Sep2019",1,1,2,0.219166666666667,1.17133333333333,0.269156205712218,0.579,8.5,17.75,"5",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"109","Sep2019",1,1,2,0.212333333333333,1.14133333333333,0.270418546061135,0.621,9.5,18.5,"109",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"41x134","Sep2019",1,1,2,0.207,1.12083333333333,0.212621261719281,0.604,11.5,21,"41",134,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"91x91","Sep2019",1,1,2,0.209,1.12833333333333,0.215044659923613,0.549,12.5,21,"91",91,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"28x67","Sep2019",1,1,2,0.224833333333333,1.12833333333333,0.199123321037442,0.599,11,21,"28",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"87x95","Sep2019",1,1,2,0.223666666666667,1.09466666666667,0.244378458119643,0.557,8.5,21,"87",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
